"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","76",".parent() - get parent DOM element from DOM elements","Traversal","2026-09-14","passed","2026-09-14","","","",""
"","750",".check() - check a checkbox or radio element","Actions","2026-09-14","passed","2026-09-14","","","",""
"","111","cy.location() - get window.location","Location","2026-09-14","passed","2026-09-14","","","",""
"","121","cy.getAllCookies() - get all browser cookies","Cookies","2026-09-14","passed","2026-09-14","","","",""
"","227","cy.request() with query parameters","Network Requests","2026-09-14","passed","2026-09-14","","","",""
"","74",".last() - get last DOM element","Traversal","2026-09-14","passed","2026-09-14","","","",""
"","72","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","2026-09-14","passed","2026-09-14","","Cypress.Screenshot","",""
"","154",".focus() - focus on a DOM element","Actions","2026-09-14","passed","2026-09-14","","","",""
"","88","cy.readFile() - read file contents","Files","2026-09-14","passed","2026-09-14","","","",""
"","80","Get environment variables","Cypress APIs","2026-09-14","passed","2026-09-14","","Cypress.env()","",""
"","163",".dblclick() - double click on a DOM element","Actions","2026-09-14","passed","2026-09-14","","","",""
"","173","cy.clearCookie() - clear a browser cookie","Cookies","2026-09-14","passed","2026-09-14","","","",""
"","220",".add() - create a custom command","Cypress APIs","2026-09-14","passed","2026-09-14","","Cypress.Commands","",""
"","345","cy.reload() - reload the page","Navigation","2026-09-14","passed","2026-09-14","","","",""
"","227","cy.writeFile() - write to a file","Files","2026-09-14","passed","2026-09-14","","","",""
"","75","Get CPU architecture name of underlying OS","Cypress APIs","2026-09-14","passed","2026-09-14","","Cypress.arch","",""
"","544","Cypress._ - call a lodash method","Utilities","2026-09-14","passed","2026-09-14","","","",""
"","789",".uncheck() - uncheck a checkbox element","Actions","2026-09-14","passed","2026-09-14","","","",""
"","74","cy.fixture() or require - load a fixture","Files","2026-09-14","passed","2026-09-14","","","",""
"","354",".submit() - submit a form","Actions","2026-09-14","passed","2026-09-14","","","",""
"","21","matches call arguments using Sinon matchers","Spies, Stubs, and Clock","2026-09-14","passed","2026-09-14","","","",""
"","593","best practices - selecting elements","Querying","2026-09-14","passed","2026-09-14","","","",""
"","80",".prevUntil() - get all previous sibling DOM elements until el","Traversal","2026-09-14","passed","2026-09-14","","","",""
"","85",".its() - get properties on the current subject","Connectors","2026-09-14","passed","2026-09-14","","","",""
"","290","cy.fixture() - load a fixture","Files","2026-09-14","passed","2026-09-14","","","",""
"","4396","cy.wait() - wait for a specific amount of time","Waiting","2026-09-14","passed","2026-09-14","","","",""
"","108","finds element by class name regex","Assertions","2026-09-14","passed","2026-09-14","","Explicit Assertions","",""
"","170","can check off an item as completed","example to-do app","2026-09-14","passed","2026-09-14","","","",""
"","86",".nextUntil() - get next sibling DOM elements until next el","Traversal","2026-09-14","passed","2026-09-14","","","",""
"","110","matches unknown text between two elements","Assertions","2026-09-14","passed","2026-09-14","","Explicit Assertions","",""
"","110","pass your own callback function to should()","Assertions","2026-09-14","passed","2026-09-14","","Explicit Assertions","",""
"","464",".clear() - clears an input or textarea element","Actions","2026-09-14","passed","2026-09-14","","","",""
"","197",".each() - iterate over an array of elements","Connectors","2026-09-14","passed","2026-09-14","","","",""
"","93",".find() - get descendant DOM elements of the selector","Traversal","2026-09-14","passed","2026-09-14","","","",""
"","300","cy.visit() - visit a remote url","Navigation","2026-09-14","passed","2026-09-14","","","",""
"","83",".next() - get next sibling DOM element","Traversal","2026-09-14","passed","2026-09-14","","","",""
"","98","cy.document() - get the document object","Window","2026-09-14","passed","2026-09-14","","","",""
"","314",".should() - make an assertion about the current subject","Assertions","2026-09-14","passed","2026-09-14","","Implicit Assertions","",""
"","484","cy.request() - make an XHR request","Network Requests","2026-09-14","passed","2026-09-14","","","",""
"","93",".within() - query DOM elements within a specific element","Querying","2026-09-14","passed","2026-09-14","","","",""
"","453","can add new todo items","example to-do app","2026-09-14","passed","2026-09-14","","","",""
"","74","Cypress.minimatch - test out glob patterns against strings","Utilities","2026-09-14","passed","2026-09-14","","","",""
"","102",".first() - get first DOM element","Traversal","2026-09-14","passed","2026-09-14","","","",""
"","245","can filter for uncompleted tasks","example to-do app","2026-09-14","passed","2026-09-14","","with a checked task","",""
"","76",".prev() - get previous sibling DOM element","Traversal","2026-09-14","passed","2026-09-14","","","",""
"","84",".not() - remove DOM elements from set of DOM elements","Traversal","2026-09-14","passed","2026-09-14","","","",""
"","78","yields the original subject without return","Connectors","2026-09-14","passed","2026-09-14","",".then()","",""
"","84",".eq() - get a DOM element at a specific index","Traversal","2026-09-14","passed","2026-09-14","","","",""
"","166",".rightclick() - right click on a DOM element","Actions","2026-09-14","passed","2026-09-14","","","",""
"","104","cy.clearAllCookies() - clear all browser cookies","Cookies","2026-09-14","passed","2026-09-14","","","",""
"","1071","Cypress.Promise - instantiate a bluebird promise","Utilities","2026-09-14","passed","2026-09-14","","","",""
"","191","cy.getCookies() - get browser cookies for the current domain","Cookies","2026-09-14","passed","2026-09-14","","","",""
"","160","cy.clock() - control time in the browser","Spies, Stubs, and Clock","2026-09-14","passed","2026-09-14","","","",""
"","3688",".type() - type into a DOM element","Actions","2026-09-14","passed","2026-09-14","","","",""
"","83","Get current spec information","Cypress APIs","2026-09-14","passed","2026-09-14","","Cypress.spec","",""
"","85","invokes a callback function with the current subject","Connectors","2026-09-14","passed","2026-09-14","",".then()","",""
"","71","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","2026-09-14","passed","2026-09-14","","","",""
"","17","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","2026-09-14","passed","2026-09-14","","","",""
"","74","yields the value yielded by the last Cypress command inside","Connectors","2026-09-14","passed","2026-09-14","",".then()","",""
"","159","Cypress.$ - call a jQuery method","Utilities","2026-09-14","passed","2026-09-14","","","",""
"","64","Control what is printed to the Command Log","Cypress APIs","2026-09-14","passed","2026-09-14","","Cypress.log","",""
"","562",".as() - alias a route for later use","Aliasing","2026-09-14","passed","2026-09-14","","","",""
"","166","cy.clearCookies() - clear browser cookies for the current domain","Cookies","2026-09-14","passed","2026-09-14","","","",""
"","75",".isHidden() - determine if a DOM element is hidden","Cypress APIs","2026-09-14","passed","2026-09-14","","Cypress.dom","",""
"","101","Get and set configuration options","Cypress APIs","2026-09-14","passed","2026-09-14","","Cypress.config()","",""
"","706","cy.exec() - execute a system command","Misc","2026-09-14","passed","2026-09-14","","","",""
"","97","cy.setCookie() - set a browser cookie","Cookies","2026-09-14","passed","2026-09-14","","","",""
"","236","can filter for completed tasks","example to-do app","2026-09-14","passed","2026-09-14","","with a checked task","",""
"","65","Get current version of Cypress being run","Cypress APIs","2026-09-14","passed","2026-09-14","","Cypress.version","",""
"","499","cy.intercept() - route responses to matching requests","Network Requests","2026-09-14","passed","2026-09-14","","","",""
"","2118","cy.scrollTo() - scroll the window or element to a position","Actions","2026-09-14","passed","2026-09-14","","","",""
"","528","cy.screenshot() - take a screenshot","Misc","2026-09-14","passed","2026-09-14","","Cypress.Screenshot","",""
"","188","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","2026-09-14","passed","2026-09-14","","","",""
"","77",".spread() - spread an array as individual args to callback function","Connectors","2026-09-14","passed","2026-09-14","","","",""
"","104","cy.url() - get the current URL","Location","2026-09-14","passed","2026-09-14","","","",""
"","111",".debug() - enable or disable debugging","Cypress APIs","2026-09-14","passed","2026-09-14","","Cypress.Cookies","",""
"","358","cy.wait() - wait for a specific route","Waiting","2026-09-14","passed","2026-09-14","","","",""
